no,eclipse,ours
962,96,354
963,99,390
964,125,224
965,119,315
966,81,98
967,71,144
968,82,171
969,74,60
971,94,204
973,96,217
974,76,15
976,99,14
977,93,216
978,84,125
979,71,129
980,72,397
981,118,200
982,87,2217
983,98,170
984,104,164
985,101,174
986,110,298
987,115,177
988,95,163
989,100,156
990,98,355
991,103,309
992,99,221
993,96,274
994,90,137
995,90,242
996,129,17
997,83,22
998,105,350
999,110,267
1000,86,151
1001,104,24
1002,118,23
1004,116,24
1005,115,1415
1007,121,11671
1008,98,23
1010,85,23
1011,97,23
1012,132,438
1013,103,26
1015,127,23
1016,129,23
1019,100,22
1020,144,29
1021,106,24
1022,116,1184
1023,106,260
1025,119,26
1026,123,24
1029,111,137
1032,118,493
1035,128,387
1036,88,165
1039,118,1326
1040,100,25
1044,112,210
1046,104,150
1047,124,23
1048,112,453
1049,139,27
1050,100,23
1051,145,22
1052,146,147
1053,102,169
1054,95,133
1055,134,148
1056,136,166
1057,124,170
1058,89,775
1059,75,915
1060,75,170
1061,114,999
1062,72,1086
1063,70,885
1064,83,398
1065,101,178
1066,101,209
1067,95,141
1068,100,211
1069,103,361
1070,105,156
1071,92,189
1072,92,184
1073,84,232
1074,102,395
1075,87,580
1078,111,97
1079,106,755
1080,102,1594
1081,105,594
1082,94,411
1083,89,73
1084,89,161
1085,97,809
1086,84,991
1087,130,424
1088,92,2035
1089,101,430
1090,62,2773
1091,106,822
1092,81,719
1093,67,670
1094,100,1450
1095,94,523
1096,92,1505
1097,89,2086
1098,65,68
1099,114,908
1100,96,179
1101,81,3322
1102,102,304
1103,83,372
1104,63,1102
1105,75,1058
1106,85,374
1107,93,8
1108,70,1791
1109,71,1480
1110,64,9
1111,107,379
1112,89,25
1113,109,313
1115,109,672
1117,86,752
1118,103,174
1119,102,1078
1120,88,2313
1121,70,630
1122,87,680
1123,84,372
1124,69,812
1125,98,1855
1126,93,10
1127,123,9
1128,70,89
1129,70,105
1130,78,829
1131,121,226
1132,109,2220
1133,68,161
1134,111,1401
1135,65,159
1136,93,11029
1137,119,11045
1138,89,2580
1139,107,903
1140,72,690
1141,96,795
1142,114,930
1143,97,38
1144,104,544
1145,168,545
1146,87,8248
1147,83,263
1148,105,20196
1149,154,28624
1150,92,372
1151,92,356
1152,92,272
1153,107,332
1154,90,3307
1155,76,277
1156,124,377
1161,123,219
1162,124,145
1163,121,150
1164,123,202
1165,128,396
1166,112,230
1167,119,154
1168,122,202
1169,137,219
1170,124,142
1171,124,141
1172,139,141
1173,126,1294
1174,112,1162
1175,109,843
1176,133,1284
1177,110,1008
1178,132,1487
1179,117,650
1180,128,2591
1181,130,1888
1182,125,1164
1183,128,758
1184,117,1426
1185,109,1424
1186,117,2601
1187,124,1036
1188,120,990
1189,117,1640
1190,115,1873
1191,113,1120
1192,122,1415
1193,113,770
1194,122,275
1195,122,36
1196,110,30
1197,124,191
1198,146,29
1199,112,31
1200,119,249
1201,142,113
1202,114,400
1203,127,114
1205,150,32
1206,125,289
1207,123,30
1208,111,114
1209,133,243
1210,119,497
1211,125,246
1213,118,308
1215,107,246
1216,125,30
1217,126,31
1218,155,922
1219,119,30
1220,124,251
1221,127,120
1222,106,30
1224,117,29
1225,123,212
1226,135,30
1227,138,209
1228,122,33
1229,114,358
1230,120,214
1231,143,31
1232,126,28
1233,142,269
1234,121,30
1235,121,30
1236,123,1468
1237,106,30
1238,136,243
1239,125,376
1240,130,29
1241,122,375
1242,137,336
1243,121,29
1244,115,724
1245,131,32
1246,147,1424
1247,117,28
1248,120,3070
1249,125,31
1250,129,3545
1251,125,2092
1252,124,54
1253,129,1482
1254,120,30
1255,118,27
1256,110,2222
1257,106,31
1258,121,31
1259,112,3889
1260,108,30
1261,136,30
1262,134,761
1263,131,31
1264,114,31
1265,133,1444
1266,115,31
1267,121,31
1268,122,32
1269,152,31
1270,120,163
1271,142,263
1272,129,264
1273,158,933
1274,107,594
1275,116,879
1276,115,1715
1277,127,1112
1278,112,530
1279,126,969
1280,123,306
1281,120,189
1282,137,185
1283,146,191
1284,130,822
1285,120,628
1286,126,891
1287,126,890
1288,128,1205
1289,106,1127
1290,133,853
1291,112,651
1292,110,507
1293,115,1688
1294,124,956
1295,130,1315
1296,112,243
1297,132,318
1298,126,188
1299,122,344
1300,114,719
1301,125,1669
1302,116,677
1303,129,1764
1304,125,685
1305,128,1030
1306,128,1815
1307,110,1685
1308,110,760
1309,120,1686
1310,113,778
1311,106,822
1312,129,566
1313,121,502
1314,133,954
1316,132,1109
1319,116,578
1321,132,923
